category,company,description,title,review,stars,clean,sentiment,sentiment_score,topic
Events & Entertainment,www.ticketmaster.co.uk,"Ticketmaster: All your entertainment needs under one virtual roof with tickets for theatre, concerts, sport, family events, clubs and more.",Ticket master great ,"Ticket master great , but Snow White and seven drag queens was rubbish, came out after interval , Scarlet Moffat didn’t even turn up ",5,ticket master great but snow white and seven drag queens was rubbish came out after interval scarlet moffat didn t even turn up,NEGATIVE,0.9996515512466431,-1
Events & Entertainment,www.ticketmaster.co.uk,"Ticketmaster: All your entertainment needs under one virtual roof with tickets for theatre, concerts, sport, family events, clubs and more.",Enjoyed going to the fireworks,Enjoyed going to the fireworks. It was really easy buying the tickets and getting updates regarding them. Just wished if the portable toilets were placed in designated areas not all over the venue at small distances. It made the smell a bit unpleasant. Moreover the audio wasn’t that good either. Speakers were placed at a very large distance making it difficult to hear and enjoy the show. ,5,enjoyed going to the fireworks it was really easy buying the tickets and getting updates regarding them just wished if the portable toilets were placed in designated areas not all over the venue at small distances it made the smell a bit unpleasant moreover the audio wasn t that good either speakers were placed at a very large distance making it difficult to hear and enjoy the show,NEGATIVE,0.9995449185371399,0
Events & Entertainment,www.ticketmaster.co.uk,"Ticketmaster: All your entertainment needs under one virtual roof with tickets for theatre, concerts, sport, family events, clubs and more.",Everything went very smoothly,"Everything went very smoothly, staff/security at venue could not be faulted, only complaint I could make is that drinks very expensive.The show was one of the best I have seen",5,everything went very smoothly staff security at venue could not be faulted only complaint i could make is that drinks very expensive the show was one of the best i have seen,POSITIVE,0.9994922876358032,0
Events & Entertainment,www.ticketmaster.co.uk,"Ticketmaster: All your entertainment needs under one virtual roof with tickets for theatre, concerts, sport, family events, clubs and more.",Post Christmas cheer up ,"The performance of Les Miserables the arena spectacular was fantastic , The stage setting was very impressive and the cast were unbelievable especially Alfie Boe.We’ll run venue professional stewards and cleaning crew. Approach to venue was well gritted as the weather was freezing and was a safe environment Unfortunately over priced drinks & snacks but it’s your choice ",5,the performance of les miserables the arena spectacular was fantastic the stage setting was very impressive and the cast were unbelievable especially alfie boe we ll run venue professional stewards and cleaning crew approach to venue was well gritted as the weather was freezing and was a safe environment unfortunately over priced drinks snacks but it s your choice,POSITIVE,0.7717215418815613,0
Events & Entertainment,www.ticketmaster.co.uk,"Ticketmaster: All your entertainment needs under one virtual roof with tickets for theatre, concerts, sport, family events, clubs and more.",It was an outstanding production,It was an outstanding production. The set the cast etc were amazing. Alfie Boe was fantastic- what a voice. I came away exhilarated! Well done everyone. A first class show.,5,it was an outstanding production the set the cast etc were amazing alfie boe was fantastic what a voice i came away exhilarated well done everyone a first class show,POSITIVE,0.9998656511306763,0
Events & Entertainment,www.ticketmaster.co.uk,"Ticketmaster: All your entertainment needs under one virtual roof with tickets for theatre, concerts, sport, family events, clubs and more.",Great Customer Service,I needed to change the date of our theatre trip due to an unwell family member being in hospital. Louie E from the Fan Support team dealt with my request quickly and efficiently and was able to easily change it for us. This was a relief at a stressful time. ,5,i needed to change the date of our theatre trip due to an unwell family member being in hospital louie e from the fan support team dealt with my request quickly and efficiently and was able to easily change it for us this was a relief at a stressful time,POSITIVE,0.9959828853607178,1
Events & Entertainment,www.ticketmaster.co.uk,"Ticketmaster: All your entertainment needs under one virtual roof with tickets for theatre, concerts, sport, family events, clubs and more.",Les Miserables ,From buying the tickets to attending the event was easy with Ticketmaster. They sent emails prior to the event with information regarding the venue and what to expect. This was very useful.,5,from buying the tickets to attending the event was easy with ticketmaster they sent emails prior to the event with information regarding the venue and what to expect this was very useful,POSITIVE,0.5820435285568237,1
Events & Entertainment,www.ticketmaster.co.uk,"Ticketmaster: All your entertainment needs under one virtual roof with tickets for theatre, concerts, sport, family events, clubs and more.",Recommend using ATG ,Ordering process was really easy using ATG site. Tickets were loaded to my Google wallet and processed quickly and easily at the venue. Overall a great experience.  Les Mis performance was amazing. ,5,ordering process was really easy using atg site tickets were loaded to my google wallet and processed quickly and easily at the venue overall a great experience les mis performance was amazing,POSITIVE,0.9953385591506958,1
Events & Entertainment,www.ticketmaster.co.uk,"Ticketmaster: All your entertainment needs under one virtual roof with tickets for theatre, concerts, sport, family events, clubs and more.",I had an issue with receiving payment…,"I had an issue with receiving payment for some tickets I had sold. My account wasn't set up correctly on the app to receive the payment. The chat bot was pretty useless but pointed me to human help and I received an email from a Clarisse G who replied to my emails quickly, followed up my queries and who sorted the issue out for me. I have been really impressed by this service after initially being really disappointed by not receiving the payment. Thankyou",5,i had an issue with receiving payment for some tickets i had sold my account wasn t set up correctly on the app to receive the payment the chat bot was pretty useless but pointed me to human help and i received an email from a clarisse g who replied to my emails quickly followed up my queries and who sorted the issue out for me i have been really impressed by this service after initially being really disappointed by not receiving the payment thankyou,POSITIVE,0.979119598865509,1
Events & Entertainment,www.ticketmaster.co.uk,"Ticketmaster: All your entertainment needs under one virtual roof with tickets for theatre, concerts, sport, family events, clubs and more.",Ticketmaster theatre ticket exchange,"I was given tickets to see Leş Mis in March 2025 but already have plans for that date. The tickets included cancellation or exchange cover.After emailing the help line I received an immediate reply and follow ups confirming my tickets could be changed. It was easy to select another date. The only downside was new tickets have to be at the same value or higher and the date I first chose did not have seats at the same price. My new tickets have been sent to me so I can print them. Very impressed with the quick and helpful response from Louie, especially over New years eve.Thank you! ",5,i was given tickets to see le mis in march but already have plans for that date the tickets included cancellation or exchange cover after emailing the help line i received an immediate reply and follow ups confirming my tickets could be changed it was easy to select another date the only downside was new tickets have to be at the same value or higher and the date i first chose did not have seats at the same price my new tickets have been sent to me so i can print them very impressed with the quick and helpful response from louie especially over new years eve thank you,NEGATIVE,0.9917674660682678,1
Events & Entertainment,www.ticketmaster.co.uk,"Ticketmaster: All your entertainment needs under one virtual roof with tickets for theatre, concerts, sport, family events, clubs and more.",Easy to buy our tickets,"Easy to buy our tickets.  When the app updated I was worried I would lose the tickets, but thank goodness no errors! Not an issue from Ticketmaster, but paid for insurance had to email to get insurance policy from company, weeks later with no apologies why I had not received it from them, appeared the policy in my inbox.  At the arena the tickets in my google wallet did not work, told to go to the box office for paper tickets, which we did, then entered venue with no further issue.  Quite happy with paper tickets as I now have a keepsake of the event! ",4,easy to buy our tickets when the app updated i was worried i would lose the tickets but thank goodness no errors not an issue from ticketmaster but paid for insurance had to email to get insurance policy from company weeks later with no apologies why i had not received it from them appeared the policy in my inbox at the arena the tickets in my google wallet did not work told to go to the box office for paper tickets which we did then entered venue with no further issue quite happy with paper tickets as i now have a keepsake of the event,NEGATIVE,0.9987152814865112,1
Events & Entertainment,www.ticketmaster.co.uk,"Ticketmaster: All your entertainment needs under one virtual roof with tickets for theatre, concerts, sport, family events, clubs and more.",Brilliant performance,Brilliant performance. The only pointers would be:(a) often the cast were looking out into the audience rather than looking at each-other - which seemed odd.  (b) drinks prices - disgraceful. ,4,brilliant performance the only pointers would be a often the cast were looking out into the audience rather than looking at each other which seemed odd b drinks prices disgraceful,NEGATIVE,0.539711594581604,0
Events & Entertainment,www.ticketmaster.co.uk,"Ticketmaster: All your entertainment needs under one virtual roof with tickets for theatre, concerts, sport, family events, clubs and more.",An easy booking process.,"The booking process was really easy and gave very detailed explanations of seating plans etc. The only reason that I didn’t give 5 stars, is because I felt pressured by Ticketmaster to download their app. I was inundated with messages from them inferring that if I did not have the app I might not be able to get into the venue. This was quite annoying!",4,the booking process was really easy and gave very detailed explanations of seating plans etc the only reason that i didn t give stars is because i felt pressured by ticketmaster to download their app i was inundated with messages from them inferring that if i did not have the app i might not be able to get into the venue this was quite annoying,NEGATIVE,0.9987066984176636,1
Events & Entertainment,www.ticketmaster.co.uk,"Ticketmaster: All your entertainment needs under one virtual roof with tickets for theatre, concerts, sport, family events, clubs and more.",Les Miserables through good UnderstudiesEnjoyed the show,"Enjoyed the show - although very disappointed not to have Alfie Boe & Michael Ball performing - apparently they had performed the evening before, Friday 3rd January, but not Saturday 4th January! I bought the tickets in July 2024 to see Boe & Ball performing, however had no notification to say they would be absent from the show! I have also read a few other reviews from people who have had the same complaint. ",4,enjoyed the show although very disappointed not to have alfie boe michael ball performing apparently they had performed the evening before friday rd january but not saturday th january i bought the tickets in july to see boe ball performing however had no notification to say they would be absent from the show i have also read a few other reviews from people who have had the same complaint,POSITIVE,0.9003180265426636,0
Events & Entertainment,www.ticketmaster.co.uk,"Ticketmaster: All your entertainment needs under one virtual roof with tickets for theatre, concerts, sport, family events, clubs and more.",Ice Skating - Battersea Power Station,"A well organised venie and event.  It did not effect me, but if we had gone the day before when it was pouring with rain it would have been a different matter.  Perhaps a covered event would be better.  One disappointement was the condiontion of the ice.  It was very uneven and made for difficult skating.  A better ice management should be considered for similar events in the future.",4,a well organised venie and event it did not effect me but if we had gone the day before when it was pouring with rain it would have been a different matter perhaps a covered event would be better one disappointement was the condiontion of the ice it was very uneven and made for difficult skating a better ice management should be considered for similar events in the future,NEGATIVE,0.9989022016525269,1
Events & Entertainment,www.ticketmaster.co.uk,"Ticketmaster: All your entertainment needs under one virtual roof with tickets for theatre, concerts, sport, family events, clubs and more.",Unable to sign into app,"Unable to sign into app, would not open the sign in page. Not a good app and wouldn’t recommend using it.Fortunately I found a very helpful customer service operative who helped me get to my tickets.",4,unable to sign into app would not open the sign in page not a good app and wouldn t recommend using it fortunately i found a very helpful customer service operative who helped me get to my tickets,NEGATIVE,0.6679975390434265,1
Events & Entertainment,www.ticketmaster.co.uk,"Ticketmaster: All your entertainment needs under one virtual roof with tickets for theatre, concerts, sport, family events, clubs and more.",50/50 chances to see the main show played by Ball and Boe and co..,"Great show and a must see but didn't expect  to not see the Boe and Ball. Éponine: Emily Bautista also didn't play and the stand in was the worst Eponine I have ever seen. It shocks and upsets me to put this, after years of waiting to see this amazing tour and show. I was at the Newcastle Saturday 7.30 show. All throughout the show I thought they may do a change, then I thought they may show them sell in the show finally and maybe do a song but no. Please keep this in mind before going to the show as a wouldn't like to see another les miserables fan be disappointed. Les rocks is the worst saying to to be put on the merchandise in my opinion. I still bought a few things.",4,great show and a must see but didn t expect to not see the boe and ball ponine emily bautista also didn t play and the stand in was the worst eponine i have ever seen it shocks and upsets me to put this after years of waiting to see this amazing tour and show i was at the newcastle saturday show all throughout the show i thought they may do a change then i thought they may show them sell in the show finally and maybe do a song but no please keep this in mind before going to the show as a wouldn t like to see another les miserables fan be disappointed les rocks is the worst saying to to be put on the merchandise in my opinion i still bought a few things,NEGATIVE,0.9982247948646545,0
Events & Entertainment,www.ticketmaster.co.uk,"Ticketmaster: All your entertainment needs under one virtual roof with tickets for theatre, concerts, sport, family events, clubs and more.", AO Arena Les Miserables Excellent Concert,"Ease of access to the floor section of AO arena now and updated facilities. New Ticketmaster App works well for mobile tickets. The concert overall was excellent with superb singers and actors.However, some  people were disappointed with not seeing Boe and Ball since nowhere in the ticket purchases did it mention when this duo were performing in Les Miserables?  Can this be rectified in future? For other shows this is done eg Grease and Sister Act in London!",4,ease of access to the floor section of ao arena now and updated facilities new ticketmaster app works well for mobile tickets the concert overall was excellent with superb singers and actors however some people were disappointed with not seeing boe and ball since nowhere in the ticket purchases did it mention when this duo were performing in les miserables can this be rectified in future for other shows this is done eg grease and sister act in london,NEGATIVE,0.955020546913147,0
Events & Entertainment,www.ticketmaster.co.uk,"Ticketmaster: All your entertainment needs under one virtual roof with tickets for theatre, concerts, sport, family events, clubs and more.",Amazing acoustics ! ,Service at the venue was excellent. Friday’s performance was amazing. The cast was unbelievable and the acoustics in the arena were as crystal clear. I purchased tickets in December 23 and then found out that Alfie Boe would be performing on the Sunday afternoon so bought more tickets. Disappointed as I found out from a member of the audience that Alfie wouldn’t be  performing. Very upset crowd at the news of this. Excellent customer service at the AO arena. ,4,service at the venue was excellent friday s performance was amazing the cast was unbelievable and the acoustics in the arena were as crystal clear i purchased tickets in december and then found out that alfie boe would be performing on the sunday afternoon so bought more tickets disappointed as i found out from a member of the audience that alfie wouldn t be performing very upset crowd at the news of this excellent customer service at the ao arena,POSITIVE,0.9758839011192322,0
Events & Entertainment,www.ticketmaster.co.uk,"Ticketmaster: All your entertainment needs under one virtual roof with tickets for theatre, concerts, sport, family events, clubs and more.",Mostly good but some things not great,"Thought most things were great but, from my point of view as an older lady, the rather vertiginous steps - without handrails -  to the seats were a bit of a challenge in both directions... My husband also found the seats rather hard and uncomfortable, especially for that length of performance - he was looking forward to the end of the show so that he could move. Hence, one star deducted. But otherwise really enjoyed the experience and the helpers were very good.",4,thought most things were great but from my point of view as an older lady the rather vertiginous steps without handrails to the seats were a bit of a challenge in both directions my husband also found the seats rather hard and uncomfortable especially for that length of performance he was looking forward to the end of the show so that he could move hence one star deducted but otherwise really enjoyed the experience and the helpers were very good,POSITIVE,0.6278715133666992,0
Events & Entertainment,www.ticketmaster.co.uk,"Ticketmaster: All your entertainment needs under one virtual roof with tickets for theatre, concerts, sport, family events, clubs and more.",The show was fantastic but very…,The show was fantastic but very disappointed that Alfie Boe didn’t perform and no mention in the arena . I booked these tickets specifically as SF on as they came on sale as both Michael Ball and Alfie Boe were performing together. I  m understand things happen and people fall ill but to not mention it at the venue is unacceptable ,4,the show was fantastic but very disappointed that alfie boe didn t perform and no mention in the arena i booked these tickets specifically as sf on as they came on sale as both michael ball and alfie boe were performing together i m understand things happen and people fall ill but to not mention it at the venue is unacceptable,NEGATIVE,0.9978978633880615,0
Events & Entertainment,www.ticketmaster.co.uk,"Ticketmaster: All your entertainment needs under one virtual roof with tickets for theatre, concerts, sport, family events, clubs and more.",Show was amazing,Show was amazing. Disappointed we didn’t see Alfie Boe and no explanation given for his absence. Seemed a bit chaotic getting out as other people arriving for 2nd show as we were leaving first show. ,4,show was amazing disappointed we didn t see alfie boe and no explanation given for his absence seemed a bit chaotic getting out as other people arriving for nd show as we were leaving first show,NEGATIVE,0.9982170462608337,0
Events & Entertainment,www.ticketmaster.co.uk,"Ticketmaster: All your entertainment needs under one virtual roof with tickets for theatre, concerts, sport, family events, clubs and more.",Les Miserables Arena Tour,Les Miserables Arena Tour - 5 star performances but seats and view poor for how much we paid in Block A,4,les miserables arena tour star performances but seats and view poor for how much we paid in block a,NEGATIVE,0.9993091821670532,0
Events & Entertainment,www.ticketmaster.co.uk,"Ticketmaster: All your entertainment needs under one virtual roof with tickets for theatre, concerts, sport, family events, clubs and more.",The show was amazing but those stairs…,The show was amazing but those stairs are horrendous and shouldn’t be allowed for the elderly. I had to turn back thankfully kind people were very helpful getting back up the few stairs I’d managed. I just wish a member of staff had advised us to go down to the bottom initially and walk up to the few stairs that was needed to get to my seat.,4,the show was amazing but those stairs are horrendous and shouldn t be allowed for the elderly i had to turn back thankfully kind people were very helpful getting back up the few stairs i d managed i just wish a member of staff had advised us to go down to the bottom initially and walk up to the few stairs that was needed to get to my seat,NEGATIVE,0.9462850689888,0
Events & Entertainment,www.ticketmaster.co.uk,"Ticketmaster: All your entertainment needs under one virtual roof with tickets for theatre, concerts, sport, family events, clubs and more.",The show was amazing,"The show was amazingThe champagne experience was goodThe lack of direction of where to go was appalling. We were misdirected on several occasions, sent to the wrong entrance  and after the food and champagne sent in completely the wrong direction for our seat. It would have helped if we had had directions by email beforehand. This was the only flaw in what was a brilliant night.",4,the show was amazingthe champagne experience was goodthe lack of direction of where to go was appalling we were misdirected on several occasions sent to the wrong entrance and after the food and champagne sent in completely the wrong direction for our seat it would have helped if we had had directions by email beforehand this was the only flaw in what was a brilliant night,NEGATIVE,0.5234930515289307,0
Events & Entertainment,www.ticketmaster.co.uk,"Ticketmaster: All your entertainment needs under one virtual roof with tickets for theatre, concerts, sport, family events, clubs and more.",Les Miserables in Newcastle ,"Event   - Brilliant. I use Ticketmaster regularly, Booking procedure getting better, but still needs some improvement on checkout.  A customer service team support team as not everybody is comfortable still online. ",4,event brilliant i use ticketmaster regularly booking procedure getting better but still needs some improvement on checkout a customer service team support team as not everybody is comfortable still online,NEGATIVE,0.9989523887634277,1
Events & Entertainment,www.ticketmaster.co.uk,"Ticketmaster: All your entertainment needs under one virtual roof with tickets for theatre, concerts, sport, family events, clubs and more.",A brilliant performance ,The showcase brilliant with the added bonus of Alfie Bow and Micheal Ball.  Accessories to the arena was great but extremely busy but well sign posted. We had a problem with the self service system took money twice out of the bank card we hope we can sort it. Two large screens allowed you to see what was happening on stage. Sound effects good but rather loud which distorted the singing. No sets like a therater but not really a problem. ,4,the showcase brilliant with the added bonus of alfie bow and micheal ball accessories to the arena was great but extremely busy but well sign posted we had a problem with the self service system took money twice out of the bank card we hope we can sort it two large screens allowed you to see what was happening on stage sound effects good but rather loud which distorted the singing no sets like a therater but not really a problem,NEGATIVE,0.9946717619895935,0
Events & Entertainment,www.ticketmaster.co.uk,"Ticketmaster: All your entertainment needs under one virtual roof with tickets for theatre, concerts, sport, family events, clubs and more.",Les Miz,"Les Miz, The World Arena tour in Manchester, matinee on 27th was absolutely superb, having seen Les Mis 17 times previously imo this latest was The Best.Only observation the arena itself was cold and imo not safe for access egress.",4,les miz the world arena tour in manchester matinee on th was absolutely superb having seen les mis times previously imo this latest was the best only observation the arena itself was cold and imo not safe for access egress,POSITIVE,0.9235663414001465,0
Events & Entertainment,www.ticketmaster.co.uk,"Ticketmaster: All your entertainment needs under one virtual roof with tickets for theatre, concerts, sport, family events, clubs and more.",All very streamlined and no problems in…,All very streamlined and no problems in what was a great night out and a wonderful experience. I found the reminders and prompts very helpful.,4,all very streamlined and no problems in what was a great night out and a wonderful experience i found the reminders and prompts very helpful,POSITIVE,0.9998502731323242,0
Events & Entertainment,www.ticketmaster.co.uk,"Ticketmaster: All your entertainment needs under one virtual roof with tickets for theatre, concerts, sport, family events, clubs and more.",The slickness and welcoming and…,"The slickness and welcoming and friendly staff for hospitality lounge was brilliant. Unfortunately they missed humour table out for ordering when we sat down which lead to our meal being rushed and me still chewing my food as we were moved to our seat. Saying that, once we told a manager he made sure we were served and apologised a lot. He was great. The food was absolutely top notch and beautiful. We had our desert during the interval. As everything was so nice I won’t hold it against them!! We had a great experience and felt very special in the end. Ticketmaster could explain a bit more on the hospitality ticket about where and when to enter to avoid the rush for the meal. Even though it is slick. I didn’t really know how it would work or which part to go to with my elderly mum. ",4,the slickness and welcoming and friendly staff for hospitality lounge was brilliant unfortunately they missed humour table out for ordering when we sat down which lead to our meal being rushed and me still chewing my food as we were moved to our seat saying that once we told a manager he made sure we were served and apologised a lot he was great the food was absolutely top notch and beautiful we had our desert during the interval as everything was so nice i won t hold it against them we had a great experience and felt very special in the end ticketmaster could explain a bit more on the hospitality ticket about where and when to enter to avoid the rush for the meal even though it is slick i didn t really know how it would work or which part to go to with my elderly mum,POSITIVE,0.9916623830795288,0
Events & Entertainment,www.ticketmaster.co.uk,"Ticketmaster: All your entertainment needs under one virtual roof with tickets for theatre, concerts, sport, family events, clubs and more.","Fantastic show, venu seating awful","Fantastic show, all cast super singers.Issues with block B seating offered very poor visibility of the stage and lack of space between rows and those sitting either side of you made this a very uncomfortable few hours. Never been to a show where seating so bad in terms of view and lack of space. My wife only able to see utilizing the large video screens and I having to head dodge those in front of me to see and a lot unseen unless also using the video screens. Seating spoilt the overall experience tbh. Will not book floor seating again if I ever come back to Newcastle Arena.",3,fantastic show all cast super singers issues with block b seating offered very poor visibility of the stage and lack of space between rows and those sitting either side of you made this a very uncomfortable few hours never been to a show where seating so bad in terms of view and lack of space my wife only able to see utilizing the large video screens and i having to head dodge those in front of me to see and a lot unseen unless also using the video screens seating spoilt the overall experience tbh will not book floor seating again if i ever come back to newcastle arena,NEGATIVE,0.9981839060783386,0
Events & Entertainment,www.ticketmaster.co.uk,"Ticketmaster: All your entertainment needs under one virtual roof with tickets for theatre, concerts, sport, family events, clubs and more.",Unfair seating for disabled people ,"I attended as companion with my sister who is profoundly deaf. Unfortunately all disabled seating is grouped together on the SIDE which is not good for visually or hearing impaired. You should he able to book any seat easily anywhere in the venue as able bodied people can and take a companion. We loved the show despite this tho. Generally, it is hard for disabled people to book but it should be easier. ",3,i attended as companion with my sister who is profoundly deaf unfortunately all disabled seating is grouped together on the side which is not good for visually or hearing impaired you should he able to book any seat easily anywhere in the venue as able bodied people can and take a companion we loved the show despite this tho generally it is hard for disabled people to book but it should be easier,NEGATIVE,0.9920273423194885,0
Events & Entertainment,www.ticketmaster.co.uk,"Ticketmaster: All your entertainment needs under one virtual roof with tickets for theatre, concerts, sport, family events, clubs and more.",Why App only tickets!,"If you expect people to use your App to show the tickets at venues, then please ensure the Wifi is decent enough at these venues to cope with additional traffic. Numerous people struggling at Newcastle last night!",3,if you expect people to use your app to show the tickets at venues then please ensure the wifi is decent enough at these venues to cope with additional traffic numerous people struggling at newcastle last night,POSITIVE,0.9943469166755676,1
Events & Entertainment,www.ticketmaster.co.uk,"Ticketmaster: All your entertainment needs under one virtual roof with tickets for theatre, concerts, sport, family events, clubs and more.",Had trouble booking tickets,"Had trouble booking tickets, trying to book 3, but when in checkout only 2 were showing. Kept going back and forth and eventually managed it. On the night realised I had mistakenly booked an earlier show and so had to pay for more tickets with no way to contact ticket master about it ? The venue weren’t interested so a waste of money ! ",3,had trouble booking tickets trying to book but when in checkout only were showing kept going back and forth and eventually managed it on the night realised i had mistakenly booked an earlier show and so had to pay for more tickets with no way to contact ticket master about it the venue weren t interested so a waste of money,NEGATIVE,0.9997703433036804,1
Events & Entertainment,www.ticketmaster.co.uk,"Ticketmaster: All your entertainment needs under one virtual roof with tickets for theatre, concerts, sport, family events, clubs and more.",Money gouging,Money gouging. As usual the ticket face value means nothing due to the avalanche of unavoidable extra charges levied by ticketmaster. Sure the app sorts of works adequately but the lack of choice is galling and takes the enjoyment out of the booking process,3,money gouging as usual the ticket face value means nothing due to the avalanche of unavoidable extra charges levied by ticketmaster sure the app sorts of works adequately but the lack of choice is galling and takes the enjoyment out of the booking process,NEGATIVE,0.8948315382003784,1
